Latitude	Longitude	Year	Month	Time	GS	Customers	Country
51.021802	11.036174	2023	1	2023-01-01	562.9965	2	DE
64.1932	20.848099	2023	1	2023-01-01	522.1856	2	All
52.411585	12.5327	2022	12	2022-12-01	2816.5113	6	All
41.380002	2.168131	2022	7	2022-07-01	615.668	1	ES
43.83	10.289241	2022	10	2022-10-01	194.743	2	IT
52.509603	4.956945	2022	9	2022-09-01	400.144	1	NL
47.619265	8.857665	2022	6	2022-06-01	388.64	1	CH
51.950247	5.203948	2022	2	2022-02-01	477.2298	1	All
55.462009	8.583859	2022	9	2022-09-01	6510.44	9	DK
52.002542	4.337478	2022	6	2022-06-01	1969.9997	1	All
52.103249	8.090199	2022	9	2022-09-01	3589.8714	3	DE
51.568916	7.185037	2022	7	2022-07-01	5620.3549	11	DE
53.834729	10.617853	2022	3	2022-03-01	8390.6264	7	All
59.483299	11.65	2022	10	2022-10-01	5749.744	9	NO
52.061512	5.121946	2022	10	2022-10-01	1237.5576	1	All
47.442086	7.589206	2022	5	2022-05-01	1004.78	3	All
52.298945	4.673454	2022	5	2022-05-01	1539.0083	1	NL
52.046622	4.642593	2022	5	2022-05-01	627.7079	1	All
53.070345	9.496246	2022	5	2022-05-01	1900.6768	4	DE
63.706079	23.894004	2022	3	2022-03-01	360.431	1	FI
52.039123	6.288519	2022	11	2022-11-01	92.082	1	All
52.02313	4.71378	2022	9	2022-09-01	1027.653	1	All
52.194593	5.427218	2022	6	2022-06-01	2462.3137	1	All
47.230653	7.96168	2022	3	2022-03-01	1459.85	2	All
52.673357	4.761847	2022	3	2022-03-01	249.1115	1	All
49.91394	8.571905	2022	6	2022-06-01	2181.8815	9	All
51.892483	5.907032	2022	6	2022-06-01	104.6077	1	All
51.241631	7.722043	2023	1	2023-01-01	907.4845	2	All
51.591179	9.405076	2023	1	2023-01-01	93.87	1	DE
51.918242	4.571907	2022	9	2022-09-01	1087.9444	1	NL
55.363219	10.489699	2022	5	2022-05-01	62944.226	110	DK
